"country","count_by_country"
"",11
"ABW",1
"AFG",5
"AGO",6
"ALB",5
"AND",1
"ARE",11
"ARG",12
"ARM",1
"ATG",2
"AUS",21
"AUT",13
"AZE",5
"BDI",5
"BEL",14
"BEN",4
"BFA",5
"BGD",13
"BGR",8
"BHR",6
"BHS",1
"BIH",3
"BLR",6
"BLZ",5
"BMU",1
"BOL",10
"BRA",28
"BRB",3
"BRN",1
"BTN",4
"BWA",7
"CAF",5
"CAN",25
"CHE",15
"CHL",20
"CHN",45
"CIV",7
"CMR",7
"COD",6
"COG",8
"COL",16
"COM",1
"CPV",1
"CRI",9
"CUB",10
"CYM",1
"CYP",5
"DEU",26
"DJI",1
"DMA",1
"DNK",12
"DOM",8
"DZA",10
"ECU",11
"EGY",11
"ERI",8
"ESP",24
"EST",10
"ETH",5
"FIN",14
"FJI",1
"FRA",25
"FRO",1
"FSM",2
"GAB",6
"GBR",19
"GEO",3
"GHA",13
"GIB",1
"GIN",7
"GLP",1
"GMB",5
"GNB",2
"GNQ",4
"GRC",13
"GRD",2
"GRL",1
"GTM",9
"GUM",1
"GUY",6
"HKG",4
"HND",7
"HRV",8
"HTI",5
"HUN",11
"IDN",21
"IND",37
"IRL",13
"IRN",19
"IRQ",6
"ISL",9
"ISR",17
"ITA",21
"JAM",5
"JOR",6
"JPN",27
"KAZ",6
"KEN",7
"KGZ",3
"KHM",5
"KIR",1
"KNA",1
"KOR",22
"KWT",7
"LAO",8
"LBN",8
"LBR",5
"LBY",6
"LCA",1
"LIE",1
"LKA",17
"LSO",6
"LTU",8
"LUX",11
"LVA",9
"MAC",1
"MAR",13
"MDA",5
"MDG",8
"MDV",5
"MEX",21
"MHL",1
"MKD",1
"MLI",5
"MLT",3
"MMR",10
"MNE",2
"MNG",7
"MNP",1
"MOZ",9
"MRT",5
"MTQ",1
"MUS",8
"MWI",6
"MYS",17
"NAM",3
"NCL",3
"NER",7
"NGA",10
"NIC",7
"NIU",2
"NLD",18
"NOR",17
"NPL",8
"NRU",1
"NZL",13
"OMN",11
"PAK",22
"PAN",6
"PER",17
"PHL",10
"PLW",1
"PNG",6
"POL",13
"PRI",2
"PRT",18
"PRY",8
"PSE",2
"PYF",2
"QAT",4
"REU",1
"ROU",9
"RUS",19
"RWA",6
"SAU",13
"SDN",8
"SEN",6
"SGP",12
"SLB",1
"SLE",6
"SLV",8
"SOM",3
"SRB",5
"STP",1
"SUR",5
"SVK",6
"SVN",7
"SWE",15
"SWZ",5
"SYC",1
"SYR",6
"TCD",5
"TGO",5
"THA",29
"TJK",2
"TKM",3
"TLS",1
"TON",1
"TTO",3
"TUN",14
"TUR",20
"TUV",1
"TWN",11
"TZA",7
"UGA",10
"UKR",7
"URY",10
"USA",55
"UZB",4
"VCT",4
"VEN",10
"VNM",16
"VUT",1
"WSM",1
"YEM",5
"ZAF",15
"ZMB",8
"ZWE",9
