"Group.1","x.Min.","x.1st Qu.","x.Median","x.Mean","x.3rd Qu.","x.Max."
"Appliances",0.03155344,0.09063032,0.13409951,0.22262681,0.22306818,0.98437264
"Chemicals and Industrial",0.06272085,0.10522079,0.14971536,0.18047358,0.19843368,0.94481380
"Digitalization",0.11290359,0.20925563,0.25799193,0.29258362,0.35445023,0.95324752
"Energy Supply",0.03130246,0.12827905,0.26257980,0.32734035,0.47108263,0.99946386
"Food and Health",0.02641175,0.12441543,0.20312319,0.28618478,0.39863895,0.97316961
"Infrastructure",0.02086128,0.05269961,0.07608753,0.09067413,0.11412898,0.41028592
"Materials",0.05670773,0.09428756,0.15846085,0.25963950,0.28893012,0.95961665
"Sea and Water",0.03485185,0.10503357,0.16951615,0.20271279,0.23927962,0.64513360
"Space and Defense",0.04953586,0.06320549,0.09346117,0.12376813,0.13242120,0.35944869
"Storage Technology",0.07656293,0.12976288,0.15906195,0.27720677,0.32221557,0.86202663
"Transportation",0.04070332,0.09494015,0.12211381,0.15456919,0.16140532,0.66158811
